track_name,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode
Dress,reputation,0.719,0.476,-8.76,0.0562,0.0348,0,0.185,0.0845,119.931,C,major
End Game,reputation,0.453,0.6,-6.217,0.15,0.00806,0,0.111,0.154,159.088,D,major
Getaway Car,reputation,0.56,0.672,-6.662,0.15,0.00476,1.55E-06,0.0911,0.35,171.986,D,major
Gorgeous,reputation,0.797,0.532,-6.861,0.147,0.0672,1.02E-05,0.227,0.454,92.024,G,major
I Did Something Bad,reputation,0.694,0.618,-6.156,0.147,0.0653,1.97E-05,0.0756,0.307,83.045,G#,major
King Of My Heart,reputation,0.678,0.703,-7.849,0.0378,0.00994,5.97E-06,0.0455,0.298,110.018,C,major
Look What You Made Me Do,reputation,0.769,0.709,-6.432,0.139,0.189,1.72E-05,0.133,0.514,128.063,A,minor
New Year's Day,reputation,0.606,0.152,-12.727,0.0361,0.93,0,0.13,0.235,94.692,C,major
...Ready For It?,reputation,0.616,0.776,-6.519,0.127,0.0609,0,0.155,0.459,160.053,D,major
So It Goes…,reputation,0.559,0.61,-7.352,0.0855,0.122,1.87E-06,0.166,0.398,150.205,D,major
This Is Why We Can't Have Nice Things,reputation,0.562,0.791,-5.974,0.118,0.0141,0,0.382,0.473,163.909,F,major
I Forgot That You Existed,Lover,0.664,0.316,-10.345,0.519,0.298,2.03E-06,0.0812,0.541,92.875,F,major
Cruel Summer,Lover,0.552,0.702,-5.707,0.157,0.117,2.06E-05,0.105,0.564,169.994,A,major
Lover,Lover,0.359,0.543,-7.582,0.0919,0.492,1.58E-05,0.118,0.453,68.534,G,major
The Man,Lover,0.777,0.658,-5.191,0.054,0.0767,0,0.0901,0.633,110.048,C,major
The Archer,Lover,0.292,0.574,-9.375,0.0401,0.12,0.00569,0.0663,0.166,124.344,C,major
I Think He Knows,Lover,0.897,0.366,-8.029,0.0569,0.00889,0.000353,0.0715,0.416,100.003,C,major
Miss Americana & The Heartbreak Prince,Lover,0.662,0.747,-6.926,0.0736,0.028,0.00615,0.138,0.487,150.088,B,minor
Paper Rings,Lover,0.811,0.719,-6.553,0.0497,0.0129,1.36E-05,0.0742,0.865,103.979,A,major
Cornelia Street,Lover,0.824,0.624,-9.728,0.0827,0.781,0.000189,0.1,0.248,102.012,C,major
Death By A Thousand Cuts,Lover,0.712,0.732,-6.754,0.0629,0.454,0,0.319,0.313,94.071,E,major
London Boy,Lover,0.695,0.71,-6.639,0.05,0.0246,0.000104,0.133,0.557,157.925,C#,major
Soon You'll Get Better,Lover,0.433,0.182,-12.566,0.0641,0.907,0,0.123,0.421,207.476,C,major
False God,Lover,0.739,0.32,-10.862,0.239,0.736,0.000147,0.111,0.351,79.97,B,minor
You Need To Calm Down,Lover,0.771,0.671,-5.617,0.0553,0.00929,0,0.0637,0.714,85.026,D,major
Afterglow,Lover,0.756,0.449,-8.746,0.0344,0.13,0,0.114,0.399,111.011,A,major
ME!,Lover,0.61,0.83,-4.105,0.0571,0.033,0,0.118,0.728,182.162,C,major
It's Nice To Have A Friend,Lover,0.737,0.175,-9.912,0.0401,0.971,0.000337,0.171,0.545,70.008,A#,major
Daylight,Lover,0.557,0.496,-9.602,0.0563,0.808,0.000173,0.0772,0.265,149.983,C,major
the 1,folklore,0.777,0.357,-6.942,0.0522,0.757,7.28E-06,0.108,0.172,139.883,C,major
cardigan,folklore,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,C,minor
the last great american dynasty,folklore,0.686,0.662,-8.505,0.0413,0.467,0.0023,0.109,0.706,147.922,G,major
exile,folklore,0.298,0.38,-8.426,0.0287,0.778,5.62E-05,0.11,0.152,75.602,F#,major
my tears ricochet,folklore,0.456,0.263,-10.63,0.0332,0.806,0,0.0749,0.111,129.86,C,major
mirrorball,folklore,0.553,0.413,-10.037,0.0334,0.687,2.33E-06,0.0594,0.379,110.107,D,major
seven,folklore,0.596,0.488,-10.769,0.0274,0.9,2.70E-05,0.091,0.415,94.926,E,major
august,folklore,0.532,0.623,-9.208,0.0331,0.538,7.28E-05,0.0925,0.403,89.937,F,major
this is me trying,folklore,0.515,0.476,-9.843,0.0328,0.314,4.74E-05,0.171,0.412,135.886,A,major
illicit affairs,folklore,0.559,0.31,-10.445,0.0338,0.881,0,0.106,0.46,119.845,A#,major
invisible string,folklore,0.653,0.452,-11.143,0.055,0.838,7.73E-05,0.108,0.45,83.433,E,minor
mad woman,folklore,0.592,0.699,-8.995,0.0471,0.655,1.68E-05,0.114,0.506,141.916,D#,major
epiphany,folklore,0.354,0.267,-13.69,0.0281,0.731,0.000402,0.0858,0.113,94.219,C#,major
betty,folklore,0.593,0.377,-8.761,0.0253,0.6,0,0.0976,0.502,95.939,C,major
peace,folklore,0.647,0.272,-12.906,0.0916,0.918,1.73E-05,0.0918,0.339,150.044,F,major
hoax,folklore,0.662,0.181,-15.065,0.0415,0.966,3.86E-06,0.133,0.429,118.819,G#,major
willow,evermore,0.392,0.574,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,G,major
champagne problems,evermore,0.462,0.24,-12.077,0.0377,0.92,0,0.113,0.32,171.319,C,major
gold rush,evermore,0.512,0.462,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,A,major
tis the damn season,evermore,0.575,0.434,-8.193,0.0312,0.735,6.59E-05,0.105,0.348,145.916,F,major
tolerate it,evermore,0.316,0.361,-10.381,0.0488,0.878,2.67E-05,0.0797,0.221,74.952,A,major
"no body, no crime",evermore,0.546,0.613,-7.589,0.0264,0.418,0,0.103,0.535,79.015,G,minor
happiness,evermore,0.559,0.334,-10.733,0.0376,0.87,0,0.114,0.211,122.079,B,major
dorothea,evermore,0.605,0.488,-8.322,0.0264,0.696,0,0.129,0.354,119.966,E,major
coney island,evermore,0.537,0.537,-11.266,0.0617,0.819,0.000904,0.142,0.292,107.895,G#,major
ivy,evermore,0.515,0.545,-9.277,0.0353,0.855,1.97E-05,0.0921,0.535,88.856,D,major
cowboy like me,evermore,0.604,0.517,-9.014,0.0347,0.768,0.000155,0.123,0.511,127.967,C,major
long story short,evermore,0.546,0.73,-7.704,0.0417,0.66,0.179,0.0972,0.573,157.895,C,major
marjorie,evermore,0.535,0.561,-11.609,0.0484,0.876,0.000136,0.115,0.287,96.103,F,major
closure,evermore,0.689,0.704,-10.813,0.245,0.835,4.83E-06,0.134,0.92,151.884,A,major
evermore,evermore,0.39,0.27,-10.673,0.0308,0.937,0.00227,0.111,0.32,125.177,C#,major
